equipment,date,changed_pcs
1026656,4/26/2023,0
1026656,5/5/2023,0
1026656,5/5/2023,0
1026656,5/8/2023,1
1026656,5/8/2023,1
1026656,5/9/2023,3
1026656,5/9/2023,3
1026667,2/6/2023,1
1026667,2/6/2023,1
1026667,5/5/2023,2
1026667,5/5/2023,2
1026667,8/30/2023,1
1026667,8/30/2023,1
1026667,9/4/2023,1
1026667,9/4/2023,1
1026667,9/5/2023,2
1026667,9/5/2023,2
1026667,9/6/2023,1
1026667,9/6/2023,1
1026667,9/6/2023,1
1026667,9/6/2023,1
1026667,9/18/2023,2
1026667,9/18/2023,2
1026667,9/21/2023,1
1026667,9/21/2023,1
1026667,10/5/2023,0
1026667,10/5/2023,0
1026667,10/10/2023,1
1026667,10/10/2023,0
1026667,10/10/2023,1
1026692,3/7/2023,0
1026692,6/2/2023,0
1026692,7/3/2023,0
1026692,9/4/2023,1
1026692,9/4/2023,1
1026692,10/2/2023,0
1026697,3/16/2023,1
1026697,3/16/2023,1
1026697,3/21/2023,1
1026697,3/21/2023,1
1026697,7/3/2023,0
1026697,10/2/2023,0
1026697,11/16/2023,0
1026697,11/16/2023,0
1026697,2/19/2024,1
1026697,2/29/2024,0
1026697,3/5/2024,2
1026697,3/5/2024,1
1026697,3/5/2024,1
1026697,3/6/2024,1
1026697,5/15/2024,1
1026697,5/30/2024,0
1026721,3/16/2023,1
1026721,3/16/2023,1
1026721,3/16/2023,1
1026721,3/16/2023,1
1026721,3/21/2023,1
1026721,3/21/2023,1
1026721,3/23/2023,3
1026721,3/23/2023,3
1026721,3/31/2023,1
1026721,3/31/2023,1
1026721,6/19/2023,2
1026721,6/19/2023,2
1026721,6/20/2023,1
1026721,6/20/2023,1
1026721,6/27/2023,1
1026721,6/27/2023,1
1026721,7/3/2023,0
1026721,7/3/2023,0
1026721,9/20/2023,0
1026721,10/11/2023,1
1026721,10/11/2023,1
1026721,11/15/2023,1
1026721,11/15/2023,1
1026721,11/15/2023,1
1026721,11/15/2023,1
1026721,2/5/2024,2
1026721,2/6/2024,2
1026731,1/18/2023,0
1026731,1/18/2023,0
1026731,2/9/2023,1
1026731,2/9/2023,1
1026731,9/4/2023,1
1026731,9/4/2023,1
1026731,9/6/2023,8
1026731,9/6/2023,8
1026731,9/7/2023,2
1026731,9/7/2023,1
1026731,9/7/2023,2
1026731,9/7/2023,1
1026731,10/12/2023,6
1026731,10/12/2023,6
1026731,10/13/2023,2
1026731,10/13/2023,2
1026731,10/16/2023,4
1026731,10/16/2023,4
1026731,12/6/2023,0
1026731,12/6/2023,0
1026731,12/13/2023,3
1026731,12/13/2023,3
1026731,3/11/2024,1
1026731,6/13/2024,3
1026735,2/6/2023,1
1026735,2/6/2023,1
1026735,2/7/2023,1
1026735,2/7/2023,1
1026735,2/7/2023,1
1026735,2/7/2023,1
1026735,3/23/2023,0
1026735,3/24/2023,1
1026735,3/24/2023,1
1026735,3/27/2023,2
1026735,3/27/2023,2
1026735,5/26/2023,1
1026735,5/26/2023,1
1026735,6/5/2023,1
1026735,6/5/2023,1
1026735,6/6/2023,0
1026735,6/6/2023,0
1026735,6/19/2023,0
1026735,6/19/2023,0
1026735,6/19/2023,0
1026735,6/20/2023,0
1026735,6/20/2023,0
1026735,7/3/2023,0
1026735,7/3/2023,0
1026735,7/25/2023,0
1026735,7/25/2023,0
1026735,8/16/2023,0
1026735,8/16/2023,0
1026735,8/17/2023,1
1026735,8/17/2023,0
1026735,8/17/2023,1
1026735,8/17/2023,0
1026735,9/20/2023,2
1026735,9/20/2023,2
1026735,9/25/2023,1
1026735,9/25/2023,1
1026735,9/29/2023,0
1026735,10/6/2023,0
1026735,10/9/2023,3
1026735,10/9/2023,0
1026735,10/9/2023,3
1026735,10/9/2023,0
1026735,10/10/2023,1
1026735,10/10/2023,1
1026735,11/10/2023,1
1026735,11/10/2023,1
1026735,11/29/2023,1
1026735,11/29/2023,1
1026735,12/6/2023,1
1026735,12/6/2023,1
1026735,4/12/2024,1
1026735,5/30/2024,1
1026739,3/27/2023,0
1026739,3/27/2023,0
1026745,1/3/2023,0
1026745,1/3/2023,0
1026745,1/16/2023,1
1026745,1/16/2023,1
1026745,1/17/2023,2
1026745,1/17/2023,1
1026745,1/17/2023,2
1026745,1/17/2023,1
1026745,1/20/2023,1
1026745,1/20/2023,0
1026745,1/20/2023,1
1026745,1/20/2023,0
1026745,1/25/2023,0
1026745,2/1/2023,0
1026745,2/1/2023,0
1026745,2/7/2023,1
1026745,2/7/2023,1
1026745,2/20/2023,1
1026745,2/20/2023,1
1026745,2/28/2023,1
1026745,2/28/2023,0
1026745,2/28/2023,1
1026745,2/28/2023,0
1026745,3/29/2023,1
1026745,3/29/2023,1
1026745,4/21/2023,1
1026745,4/21/2023,1
1026745,5/12/2023,1
1026745,5/12/2023,1
1026745,8/31/2023,1
1026745,8/31/2023,1
1026745,9/18/2023,1
1026745,9/18/2023,1
1026745,9/19/2023,1
1026745,9/19/2023,1
1026745,9/26/2023,0
1026745,9/26/2023,0
1026745,10/4/2023,7
1026745,10/4/2023,7
1026745,11/6/2023,0
1026745,11/6/2023,0
1026745,11/7/2023,1
1026745,11/7/2023,1
1026745,11/9/2023,1
1026745,11/9/2023,1
1026803,1/18/2023,1
1026803,1/18/2023,1
1026803,2/28/2023,1
1026803,2/28/2023,1
1026809,9/21/2023,1
1026809,9/21/2023,1
